id,name,code,parent,kind,type,reconcile,deferral,party_required
pc_20107010101,IVA VENTAS LOCALES (EXCLUYE ACTIVOS FIJOS) GRAVADAS TARIFA 12%,20107010101,pc_201070101,other,ec_esf_2010701,True,True,True
pc_20107010102,IVA VENTAS DE ACTIVOS FIJOS GRAVADAS TARIFA 12%,20107010102,pc_201070101,other,ec_esf_2010701,True,True,True
pc_20107010103,IVA VENTAS LOCALES (EXCLUYE ACTIVOS FIJOS) GRAVADAS TARIFA 0% QUE NO DAN DERECHO A CREDITO TRIBUTARIO,20107010103,pc_201070101,other,ec_esf_2010701,True,True,True
pc_20107010104,IVA VENTAS DE ACTIVOS FIJOS GRAVADAS TARIFA 0% QUE NO DAN DERECHO A CREDITO TRIBUTARIO,20107010104,pc_201070101,other,ec_esf_2010701,True,True,True
pc_20107010105,IVA VENTAS LOCALES (EXCLUYE ACTIVOS FIJOS) GRAVADAS TARIFA 0% QUE DAN DERECHO A CREDITO TRIBUTARIO,20107010105,pc_201070101,other,ec_esf_2010701,True,True,True
pc_20107010106,IVA VENTAS DE ACTIVOS FIJOS GRAVADAS TARIFA 0% QUE DAN DERECHO A CREDITO TRIBUTARIO,20107010106,pc_201070101,other,ec_esf_2010701,True,True,True
pc_20107010107,EXPORTACIONES DE BIENES,20107010107,pc_201070101,other,ec_esf_2010701,True,True,True
pc_20107010108,EXPORTACIONES DE SERVICIOS,20107010108,pc_201070101,other,ec_esf_2010701,True,True,True
pc_20107010109,TRANSFERENCIAS NO OBJETO O EXENTAS DE IVA,20107010109,pc_201070101,other,ec_esf_2010701,True,True,True
pc_10108010101,IVA ADQUISICIONES Y PAGOS (EXCLUYE ACTIVOS FIJOS) GRAVADOS TARIFA 12% (CON DERECHO A CRÉDITO TRIBUTARIO),10108010101,pc_101080101,other,ec_esf_10108,True,True,True
pc_10108010102,IVA ADQUISICIONES LOCALES DE ACTIVOS FIJOS GRAVADOS TARIFA 12% (CON DERECHO A CRÉDITO TRIBUTARIO),10108010102,pc_101080101,other,ec_esf_10108,True,True,True
pc_10108010103,IVA OTRAS ADQUISICIONES Y PAGOS GRAVADOS TARIFA 12% (SIN DERECHO A CRÉDITO TRIBUTARIO),10108010103,pc_101080101,other,ec_esf_10108,True,True,True
pc_10108010104,IVA IMPORTACIONES DE SERVICIOS GRAVADOS TARIFA 12%,10108010104,pc_101080101,other,ec_esf_10108,True,True,True
pc_10108010105,IVA IMPORTACIONES DE BIENES (EXCLUYE ACTIVOS FIJOS) GRAVADOS TARIFA 12%,10108010105,pc_101080101,other,ec_esf_10108,True,True,True
pc_10108010106,IVA IMPORTACIONES DE ACTIVOS FIJOS GRAVADOS TARIFA 12%,10108010106,pc_101080101,other,ec_esf_10108,True,True,True
pc_10108010107,IVA IMPORTACIONES DE BIENES (INCLUYE ACTIVOS FIJOS) GRAVADOS TARIFA 0%,10108010107,pc_101080101,other,ec_esf_10108,True,True,True
pc_10108010108,ADQUISICIONES Y PAGOS (INCLUYE ACTIVOS FIJOS) GRAVADOS TARIFA 0%,10108010108,pc_101080101,other,ec_esf_10108,True,True,True
pc_10108010109,ADQUISICIONES REALIZADAS A CONTRIBUYENTES RISE ,10108010109,pc_101080101,other,ec_esf_10108,True,True,True
pc_10108010110,ADQUISICIONES NO OBJETO DE IVA,10108010110,pc_101080101,other,ec_esf_10108,True,True,True
pc_10108010111,ADQUISICIONES EXENTAS DEL PAGO DE IVA,10108010111,pc_101080101,other,ec_esf_10108,True,True,True
pc_101050101,ANTICIPO RETENCION IVA 10%,101050101,pc_1010501,other,ec_esf_1010501,True,True,True
pc_101050102,ANTICIPO RETENCION IVA 20%,101050102,pc_1010501,other,ec_esf_1010501,True,True,True
pc_101050103,ANTICIPO RETENCION IVA 30%,101050103,pc_1010501,other,ec_esf_1010501,True,True,True
pc_101050104,ANTICIPO RETENCION IVA 70%,101050104,pc_1010501,other,ec_esf_1010501,True,True,True
pc_101050105,ANTICIPO RETENCION IVA 100%,101050105,pc_1010501,other,ec_esf_1010501,True,True,True
pc_101050201,ANTICIPO RETENCION EN LA FUENTE 1%,101050201,pc_1010502,other,ec_esf_1010502,True,True,True
pc_101050202,ANTICIPO RETENCION EN LA FUENTE 2%,101050202,pc_1010502,other,ec_esf_1010502,True,True,True
pc_101050203,ANTICIPO RETENCION EN LA FUENTE 8%,101050203,pc_1010502,other,ec_esf_1010502,True,True,True
pc_101050204,ANTICIPO RETENCION EN LA FUENTE 10%,101050204,pc_1010502,other,ec_esf_1010502,True,True,True
pc_20107010201,EN RELACIÓN DE DEPENDENCIA QUE SUPERA O NO LA BASE DESGRAVADA - BASE IMPONIBLE,20107010201,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010202,HONORARIOS PROFESIONALES Y DEMÁS PAGOS POR SERVICIOS RELACIONADOS CON EL TÍTULO PROFESIONAL 10%  (303),20107010202,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010203,SERVICIOS PREDOMINA EL INTELECTO NO RELACIONADOS CON EL TÍTULO PROFESIONAL 8% (304),20107010203,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010204,COMISIONES Y DEMÁS PAGOS POR SERVICIOS PREDOMINA INTELECTO NO RELACIONADOS CON EL TÍTULO PROFESIONAL  8%  (304A),20107010204,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010205,PAGOS A NOTARIOS Y REGISTRADORES DE LA PROPIEDAD Y MERCANTIL POR SUS ACTIVIDADES EJERCIDAS COMO TALES  8% (304B),20107010205,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010206,"PAGOS A DEPORTISTAS, ENTRENADORES, ÁRBITROS, MIEMBROS DEL CUERPO TÉCNICO POR SUS ACTIVIDADES EJERCIDAS COMO TALES  8%  (304C)",20107010206,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010207,PAGOS A ARTISTAS POR SUS ACTIVIDADES EJERCIDAS COMO TALES  8%  (304D),20107010207,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010208,HONORARIOS Y DEMÁS PAGOS POR SERVICIOS DE DOCENCIA  8% (304E),20107010208,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010209,SERVICIOS PREDOMINA LA MANO DE OBRA  2% (307),20107010209,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010210,UTILIZACIÓN O APROVECHAMIENTO DE LA IMAGEN O RENOMBRE 10% (308),20107010210,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010211,SERVICIOS PRESTADOS POR MEDIOS DE COMUNICACIÓN Y AGENCIAS DE PUBLICIDAD 1% (309),20107010211,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010212,SERVICIO DE TRANSPORTE PRIVADO DE PASAJEROS O TRANSPORTE PÚBLICO O PRIVADO DE CARGA 1% (310),20107010212,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010213,POR PAGOS A TRAVÉS DE LIQUIDACIÓN DE COMPRA (NIVEL CULTURAL O RUSTICIDAD) 2%  (311),20107010213,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010214,TRANSFERENCIA DE BIENES MUEBLES DE NATURALEZA CORPORAL 1% (312),20107010214,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010215,"COMPRA DE BIENES DE ORIGEN AGRÍCOLA, AVÍCOLA, PECUARIO, APÍCOLA, CUNÍCULA, BIOACUÁTICO, Y FORESTAL 1% (312A)",20107010215,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010216,REGALÍAS POR CONCEPTO DE FRANQUICIAS DE ACUERDO A LEY DE PROPIEDAD INTELECTUAL - PAGO A PERSONAS NATURALES  8%  (314A) ,20107010216,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010217,"CÁNONES, DERECHOS DE AUTOR,  MARCAS, PATENTES Y SIMILARES DE ACUERDO A LEY DE PROPIEDAD INTELECTUAL – PAGO A PERSONAS NATURALES  8%  (314B)",20107010217,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010218,REGALÍAS POR CONCEPTO DE FRANQUICIAS DE ACUERDO A LEY DE PROPIEDAD INTELECTUAL  - PAGO A SOCIEDADES  8%  (314C),20107010218,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010219,"CÁNONES, DERECHOS DE AUTOR,  MARCAS, PATENTES Y SIMILARES DE ACUERDO A LEY DE PROPIEDAD INTELECTUAL – PAGO A SOCIEDADES  8%  (314D)",20107010219,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010220,"CUOTAS DE ARRENDAMIENTO MERCANTIL, INCLUSIVE LA DE OPCIÓN DE COMPRA (319)",20107010220,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010221,POR ARRENDAMIENTO BIENES INMUEBLES  8%  (320),20107010221,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010222,SEGUROS Y REASEGUROS (PRIMAS Y CESIONES) 1% (322),20107010222,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010223,POR RENDIMIENTOS FINANCIEROS PAGADOS A NATURALES Y SOCIEDADES  (NO A IFIS) 2%   (323),20107010223,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010224,POR RF: DEPÓSITOS CTA. CORRIENTE 2%  (323A),20107010224,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010225,POR RF:  DEPÓSITOS CTA. AHORROS SOCIEDADES 2%  (323B1),20107010225,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010226,POR RF: DEPÓSITO A PLAZO FIJO  GRAVADOS 2%  (323E),20107010226,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010227,POR RF: DEPÓSITO A PLAZO FIJO EXENTOS (323E2),20107010227,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010228,POR RENDIMIENTOS FINANCIEROS: OPERACIONES DE REPORTO - REPOS 2%  (323F),20107010228,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010229,POR RF: INVERSIONES (CAPTACIONES) RENDIMIENTOS DISTINTOS DE AQUELLOS PAGADOS A IFIS 2%  (323G),20107010229,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010230,POR RF: OBLIGACIONES 2%  (323H),20107010230,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010231,POR RF: BONOS CONVERTIBLE EN ACCIONES 2%  (323I),20107010231,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010232,POR RF: INVERSIONES EN TÍTULOS VALORES EN RENTA FIJA GRAVADOS 2%   (323M),20107010232,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010233,POR RF: INVERSIONES EN TÍTULOS VALORES EN RENTA FIJA EXENTOS (323N),20107010233,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010234,POR RF: INTERESES PAGADOS A BANCOS Y OTRAS ENTIDADES SOMETIDAS AL CONTROL DE LA SUPERINTENDENCIA DE BANCOS Y DE LA ECONOMÍA POPULAR Y SOLIDARIA (323O),20107010234,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010235,POR RF: INTERESES PAGADOS POR ENTIDADES DEL SECTOR PÚBLICO A FAVOR DE SUJETOS PASIVOS 2%  (323P),20107010235,pc_201070102,other,ec_esf_2010701,True,True,True
pc_20107010236,POR RF: OTROS INTERESES Y RENDIMIENTOS FINANCIEROS GRAVADOS 2%  (323Q),20107010236,pc_201070102,other,ec_esf_2010701,True,True,True
